batch,time,Rc,C,I,mI,m1,P1
batch 4,55.0,47.671692,208.168868,51.587476,4.89791,0.192031,24.746605
batch 4,60.0,24.758783,170.093046,129.031653,8.251402,0.221571,25.147787
batch 4,65.0,6.571487,214.36086,491.76529,9.060206,0.249896,25.856389
batch 4,70.0,4.710402,240.894983,689.260762,7.867872,0.207815,26.456993
batch 4,75.0,7.735395,251.993873,414.774362,6.064544,0.159572,26.756981
batch 4,80.0,64.642828,167.094961,43.044533,5.996361,0.124929,26.792701
batch 4,85.0,15.290658,193.052438,209.57041,8.609378,0.168549,26.843134
batch 4,90.0,6.36657,226.279352,508.220325,8.572757,0.171587,27.087395
batch 4,95.0,6.20258,245.46032,521.283937,7.149734,0.139885,27.211802
batch 5,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 5,5.0,22.034879,106.409226,138.612912,8.482676,0.627897,1.57004
batch 5,10.0,4.565438,179.999762,702.438556,10.087515,0.872384,6.301756
batch 5,15.0,2.589293,223.925761,1256.147087,9.305297,0.733455,10.923302
batch 5,20.0,2.383615,250.52391,1369.641563,7.350699,0.558533,14.405526
batch 5,25.0,3.904328,264.075853,832.490365,5.078417,0.416608,16.841332
batch 5,30.0,92.040075,155.399431,22.09501,4.233404,0.310365,18.473149
batch 5,35.0,19.789541,160.431505,160.95024,8.625043,0.392853,19.86793
batch 5,40.0,5.389254,209.932632,599.874632,9.337075,0.414691,21.762815
batch 5,45.0,3.782519,239.797197,859.899928,8.077689,0.335399,23.348904
batch 5,50.0,5.309932,255.213312,609.640037,6.102829,0.254495,24.394055
batch 5,55.0,60.177507,188.969115,40.583962,5.108227,0.191489,24.979597
batch 5,60.0,21.642992,175.245354,147.549437,8.359797,0.226882,25.400237
batch 5,65.0,6.565032,216.640377,492.292911,8.921382,0.24531,26.098126
batch 5,70.0,5.072647,241.614116,639.441412,7.676856,0.202203,26.659082
batch 5,75.0,9.687116,249.428573,328.40687,5.965105,0.15521,26.923302
batch 5,80.0,59.175766,163.548033,49.634593,6.452337,0.126269,26.937554
batch 5,85.0,13.42267,198.431016,238.906638,8.633199,0.169652,27.010764
batch 5,90.0,6.514106,228.852934,496.523967,8.35065,0.165254,27.228795
batch 5,95.0,7.263219,245.241829,443.589333,6.919501,0.133614,27.31007
batch 6,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 6,5.0,22.738365,104.931087,133.984296,8.404498,0.631438,1.575119
batch 6,10.0,4.73366,178.905565,677.034236,10.005369,0.883536,6.353992
batch 6,15.0,2.684731,223.10684,1211.095462,9.249949,0.744646,11.042447
batch 6,20.0,2.481695,249.861512,1315.122177,7.336387,0.567462,14.580807
batch 6,25.0,4.155723,263.273382,781.396652,5.102303,0.423375,17.057577
batch 6,30.0,96.051192,146.443531,22.220052,4.424622,0.315878,18.718039
batch 6,35.0,19.013551,162.587364,167.445182,8.629232,0.398708,20.152932
batch 6,40.0,5.50555,210.739787,587.140455,9.232983,0.413512,22.04797
batch 6,45.0,3.989165,239.915781,814.960148,7.96468,0.333536,23.61537
batch 6,50.0,5.96278,254.238746,541.581028,6.041837,0.253079,24.642835
batch 6,55.0,67.782418,173.910934,37.384811,5.367954,0.191454,25.214946
batch 6,60.0,19.329594,179.759644,165.191258,8.430388,0.230919,25.655519
batch 6,65.0,6.620502,218.652542,488.1411,8.778195,0.24074,26.33888
batch 6,70.0,5.518005,242.041261,587.11017,7.498883,0.196998,26.861854
batch 6,75.0,12.534409,245.402143,250.432062,5.903667,0.151292,27.092804
batch 6,80.0,50.613854,166.016821,60.073785,6.858276,0.129545,27.091531
batch 6,85.0,12.201564,203.006597,262.974661,8.604905,0.16931,27.183183
