batch,time,Rc,C,I,mI,m1,P1
batch 18,90.0,7.175331,231.848944,450.380011,7.958416,0.156588,27.733126
batch 18,95.0,10.520486,241.774124,302.883017,6.619243,0.125652,27.748152
batch 19,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 19,5.0,24.345419,101.486334,124.597503,8.253669,0.64029,1.588552
batch 19,10.0,5.111707,176.376418,626.752263,9.849407,0.91043,6.481824
batch 19,15.0,2.895748,221.231006,1123.104941,9.150295,0.771612,11.331468
batch 19,20.0,2.696292,248.361891,1210.73404,7.321509,0.588976,15.005027
batch 19,25.0,4.719223,261.470256,687.203695,5.165344,0.439682,17.580446
batch 19,30.0,98.733793,134.556646,23.55359,4.808998,0.329427,19.31009
batch 19,35.0,17.974738,165.865424,177.189015,8.618211,0.411927,20.83165
batch 19,40.0,5.795841,211.774026,558.05706,9.041514,0.41512,22.741985
batch 19,45.0,4.462093,239.706558,728.387211,7.773416,0.333481,24.291515
batch 19,50.0,7.623688,251.492856,421.191248,5.966729,0.253155,25.298795
batch 19,55.0,69.11658,159.186152,39.92279,5.919421,0.195217,25.856234
batch 19,60.0,16.536373,186.435974,193.313467,8.483499,0.238091,26.339247
batch 19,65.0,6.914448,221.413893,467.559282,8.512013,0.235157,26.998253
batch 19,70.0,6.658409,241.745779,485.341395,7.217188,0.190583,27.463504
batch 19,75.0,21.523737,231.913389,139.734816,5.923587,0.14699,27.644154
batch 19,80.0,36.366691,175.253167,86.039027,7.415335,0.139554,27.632941
batch 19,85.0,11.075974,209.320879,290.096328,8.463522,0.168429,27.74799
batch 19,90.0,7.734884,232.756435,417.127658,7.762461,0.151639,27.888661
batch 19,95.0,13.285795,237.929706,237.260359,6.525621,0.121663,27.871733
batch 20,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 20,5.0,25.07944,100.009432,120.595766,8.179554,0.643615,1.593258
batch 20,10.0,5.303443,175.229391,603.654474,9.771154,0.921762,6.533168
batch 20,15.0,3.005919,220.355073,1081.539921,9.097455,0.783305,11.452014
batch 20,20.0,2.812078,247.634812,1160.478325,7.308987,0.598391,15.184663
batch 20,25.0,5.048458,260.510786,641.55721,5.193138,0.446848,17.803535
batch 20,30.0,97.988945,130.928068,24.667353,4.999931,0.335787,19.56415
batch 20,35.0,17.526075,167.638295,181.675974,8.60126,0.416595,21.124052
batch 20,40.0,5.962383,212.357241,542.329764,8.94123,0.414068,23.031791
batch 20,45.0,4.746712,239.560466,684.206494,7.676362,0.332021,24.564346
batch 20,50.0,8.795643,249.587772,363.26594,5.93747,0.252162,25.556202
batch 20,55.0,65.381922,157.237922,43.718287,6.196042,0.197489,26.104801
batch 20,60.0,15.536865,189.604161,205.776464,8.475455,0.23947,26.605203
batch 20,65.0,7.14596,222.648016,452.170846,8.370194,0.231105,27.244024
batch 20,70.0,7.460961,241.136365,432.029991,7.087112,0.186647,27.677203
batch 20,75.0,28.141718,221.500534,104.067368,6.003396,0.144669,27.832294
batch 20,80.0,30.919179,180.428595,101.758155,7.604512,0.1441,27.822333
batch 20,85.0,10.842585,212.021966,296.289483,8.355737,0.166329,27.940491
batch 20,90.0,8.466954,233.041372,380.233623,7.586547,0.14738,28.053866
batch 20,95.0,16.887676,232.383314,184.067043,6.489489,0.118602,28.009512
batch 21,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 21,5.0,25.819785,98.537392,116.778616,8.106732,0.64687,1.597853
batch 21,10.0,5.503332,174.06575,581.290294,9.694148,0.93313,6.584158
batch 21,15.0,3.121461,219.459887,1041.102266,9.045431,0.795146,11.572846
batch 21,20.0,2.934599,246.884612,1111.617082,7.297054,0.607957,15.365494
batch 21,25.0,5.410642,259.487966,597.743289,5.222312,0.454141,18.028608
batch 21,30.0,96.206319,128.670285,26.001679,5.184477,0.342462,19.821023
batch 21,35.0,17.16425,169.290624,185.458036,8.578513,0.420946,21.41845
batch 21,40.0,6.14804,212.857251,525.786948,8.842686,0.41313,23.323168
batch 21,45.0,5.065069,239.308238,640.655948,7.58515,0.33075,24.839683
batch 21,50.0,10.246482,247.211856,309.835257,5.920732,0.251364,25.817171
batch 21,55.0,60.360955,157.751189,48.638585,6.447828,0.200554,26.359217
batch 21,60.0,14.806667,192.389672,215.938767,8.448911,0.240278,26.875068
batch 21,65.0,7.442193,223.600087,433.85917,8.232754,0.227397,27.493391
batch 21,70.0,8.441347,240.0751,380.616179,6.976716,0.18323,27.897125
batch 21,75.0,34.356656,210.622245,84.063036,6.132303,0.14314,28.029921
batch 21,80.0,26.945415,184.978803,117.111559,7.731356,0.148114,28.025301
batch 21,85.0,10.820076,214.138336,296.759358,8.238167,0.164221,28.142702
batch 21,90.0,9.389165,232.682616,341.921007,7.434619,0.143861,28.231204
batch 21,95.0,21.025411,225.446721,145.732101,6.509821,0.116545,28.16413
batch 22,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 22,5.0,26.565499,97.0713,113.137432,8.035172,0.650058,1.602339
batch 22,10.0,5.711723,172.885105,559.643202,9.618358,0.944534,6.634786
batch 22,15.0,3.242698,218.544634,1001.771206,8.994201,0.807141,11.693962
batch 22,20.0,3.064357,246.109951,1064.12939,7.285703,0.61768,15.547544
batch 22,25.0,5.809842,258.395165,555.762865,5.252916,0.461567,18.25572
batch 22,30.0,93.650039,127.550533,27.52799,5.360634,0.349455,20.080828
batch 22,35.0,16.87969,170.826489,188.535059,8.550617,0.425033,21.714954
batch 22,40.0,6.354106,213.270589,508.543837,8.746119,0.412334,23.616469
batch 22,45.0,5.421565,238.94058,597.942758,7.499994,0.329691,25.118016
batch 22,50.0,12.040952,244.267336,261.494894,5.917399,0.250788,26.082309
batch 22,55.0,54.986655,159.745666,54.432745,6.668819,0.204249,26.620298
batch 22,60.0,14.291865,194.81822,223.708401,8.407619,0.240687,27.149487
batch 22,65.0,7.806607,224.263971,413.222978,8.101442,0.224089,27.747639
batch 22,70.0,9.629931,238.510182,332.283764,6.887242,0.180358,28.124721
batch 22,75.0,38.470423,201.501284,75.275831,6.295468,0.142532,28.238801
batch 22,80.0,24.105994,188.848997,131.126382,7.80748,0.151531,28.242398
batch 22,85.0,10.97591,215.697356,292.305754,8.117588,0.162308,28.356468
batch 22,90.0,10.512518,231.669717,304.3145,7.309323,0.141121,28.423058
batch 22,95.0,24.903656,218.134679,121.818666,6.577774,0.115571,28.338156
batch 23,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 23,5.0,19.590322,111.430027,157.697568,8.813319,0.617033,1.55599
batch 23,10.0,3.983226,183.718689,808.694635,10.43986,0.836322,6.136354
batch 23,15.0,2.255547,226.725843,1446.375586,9.553905,0.697289,10.541462
batch 23,20.0,2.040556,252.80288,1604.31814,7.438436,0.529704,13.84228
batch 23,25.0,3.075956,266.790278,1061.592807,5.016826,0.39477,16.145784
batch 23,30.0,52.627538,213.023689,37.800528,3.596727,0.293236,17.685547
batch 23,35.0,25.307846,148.526114,126.605017,8.505898,0.367936,18.927229
batch 23,40.0,5.100021,205.185204,635.068576,9.781767,0.426939,20.838644
batch 23,45.0,3.13397,238.119309,1041.104116,8.619114,0.350773,22.540958
batch 23,50.0,3.55018,257.08667,918.797588,6.480405,0.266555,23.691645
batch 23,55.0,14.753485,252.611016,207.029569,4.617003,0.199202,24.357971
batch 23,60.0,45.101108,146.06923,70.859039,7.572217,0.199016,24.720191
batch 23,65.0,7.142936,204.406511,452.70952,9.450307,0.269274,25.443509
batch 23,70.0,3.975383,236.356179,819.430255,8.569234,0.233854,26.202538
batch 23,75.0,4.515143,254.399965,720.481804,6.615062,0.180646,26.650775
batch 23,80.0,24.108709,238.040154,119.294722,5.014341,0.136137,26.792835
batch 23,85.0,32.694605,165.902156,98.07224,7.953926,0.152486,26.777622
batch 23,90.0,6.96214,213.079189,465.106264,9.219133,0.197345,27.072666
batch 23,95.0,4.474545,240.60672,727.474968,8.128347,0.169956,27.373426
batch 24,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 24,5.0,20.261512,109.941608,152.153956,8.729072,0.620852,1.56153
batch 24,10.0,4.1277,182.672084,779.948664,10.351769,0.847403,6.190092
batch 24,15.0,2.335932,225.961346,1396.215457,9.494582,0.708096,10.66048
batch 24,20.0,2.120412,252.20453,1543.532938,7.421491,0.538246,14.015082
batch 24,25.0,3.254277,266.138799,1002.803079,5.036197,0.401218,16.35753
batch 24,30.0,64.75251,197.172152,28.94529,3.727601,0.298142,17.924156
batch 24,35.0,23.659736,151.478027,135.241016,8.553872,0.37646,19.208066
batch 24,40.0,5.156361,206.286435,628.168475,9.677265,0.426001,21.127714
batch 24,45.0,3.268239,238.534398,998.079586,8.486824,0.348536,22.810238
batch 24,50.0,3.868214,256.806714,842.42573,6.382754,0.264723,23.94074
batch 24,55.0,21.019835,244.13608,138.488102,4.659526,0.197952,24.590514
batch 24,60.0,36.773293,154.35953,87.123026,7.846859,0.208773,24.964639
batch 24,65.0,6.89098,207.591121,469.497155,9.346982,0.265524,25.697913
batch 24,70.0,4.151851,237.895252,784.362623,8.350847,0.226982,26.41375
batch 24,75.0,5.189286,254.222021,625.4667,6.424722,0.174893,26.817838
batch 24,80.0,41.792791,213.960295,62.164746,5.157619,0.132232,26.925856
batch 24,85.0,24.551973,175.750951,130.653256,8.274773,0.161633,26.927313
batch 24,90.0,6.603366,217.609824,490.687527,9.052904,0.191245,27.222719
batch 24,95.0,4.810409,242.678365,676.127789,7.81368,0.161117,27.470546
batch 25,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 25,5.0,20.944916,108.450866,146.864184,8.64639,0.624597,1.56694
batch 25,10.0,4.278213,181.611503,752.06939,10.265195,0.858531,6.243525
batch 25,15.0,2.419938,225.182284,1347.35911,9.436252,0.719031,10.779793
batch 25,20.0,2.204435,251.590246,1484.330185,7.405202,0.54691,14.188929
batch 25,25.0,3.447607,265.454387,945.926791,5.056662,0.407763,16.57094
batch 25,30.0,75.790512,181.852009,24.658397,3.87736,0.303172,18.16492
batch 25,35.0,22.28212,154.204391,143.451946,8.589581,0.384293,19.490951
batch 25,40.0,5.226734,207.32032,619.725038,9.572447,0.424937,21.41641
batch 25,45.0,3.416992,238.885209,954.344534,8.358928,0.346343,23.079066
batch 25,50.0,4.240543,256.402572,767.538019,6.293145,0.262955,24.189742
batch 25,55.0,30.976393,230.866984,87.017447,4.742601,0.19682,24.8234
batch 25,60.0,30.541446,161.552849,104.885109,8.062436,0.217368,25.212987
batch 25,65.0,6.725541,210.497047,481.228445,9.229341,0.26128,25.948469
batch 25,70.0,4.375574,239.201249,743.914178,8.138773,0.220401,26.621298
batch 25,75.0,6.095223,253.550054,530.763951,6.258059,0.169502,26.983388
batch 25,80.0,59.175417,186.54037,43.46794,5.459576,0.129216,27.059949
batch 25,85.0,19.422777,183.803645,165.17078,8.481911,0.168086,27.084205
batch 25,90.0,6.424331,221.534398,504.536973,8.858459,0.184622,27.368035
batch 25,95.0,5.296068,244.163205,613.302795,7.51618,0.152941,27.564524
batch 26,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 26,5.0,21.639818,106.958767,141.817362,8.56523,0.628269,1.572221
batch 26,10.0,4.435043,180.536553,725.035896,10.180094,0.869707,6.296647
batch 26,15.0,2.507774,224.388053,1299.778008,9.378888,0.730098,10.899402
batch 26,20.0,2.292912,250.959175,1426.678613,7.389557,0.555699,14.363842
batch 26,25.0,3.657628,264.734038,890.943611,5.078256,0.41441,16.786055
batch 26,30.0,84.763226,168.197902,22.767936,4.044343,0.308349,18.407914
batch 26,35.0,21.128498,156.733488,151.16282,8.614198,0.391479,19.775791
batch 26,40.0,5.311437,208.285533,609.831484,9.46765,0.423784,21.70494
batch 26,45.0,3.581956,239.167928,910.0741,8.235608,0.344214,23.3478
batch 26,50.0,4.679972,255.852836,694.4463,6.211977,0.261266,24.439097
batch 26,55.0,44.459749,212.543105,56.044599,4.878557,0.19587,25.057186
batch 26,60.0,25.944786,167.750042,123.384943,8.22582,0.22457,25.464832
batch 26,65.0,6.635203,213.129858,487.902103,9.100757,0.256728,26.195905
batch 26,70.0,4.654605,240.260898,698.86501,7.935119,0.214155,26.826478
batch 26,75.0,7.344495,252.215777,438.340641,6.118466,0.164495,27.148859
batch 26,80.0,65.284912,169.08886,41.89497,5.88467,0.127767,27.197344
batch 26,85.0,16.147106,190.514989,198.779986,8.5966,0.171922,27.246882
batch 26,90.0,6.39603,224.872507,506.79071,8.64651,0.177864,27.510518
batch 26,95.0,5.981375,244.987386,541.912876,7.243558,0.145489,27.658301
batch 27,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 27,5.0,22.345444,105.466318,137.002931,8.485552,0.631869,1.577378
batch 27,10.0,4.598484,179.446833,698.828018,10.096428,0.880927,6.349449
batch 27,15.0,2.599661,223.578022,1253.444871,9.322463,0.741299,11.019306
batch 27,20.0,2.386156,250.310408,1370.548562,7.374548,0.564617,14.539843
batch 27,25.0,3.886247,263.974393,837.835999,5.101015,0.421162,17.002921
batch 27,30.0,91.384473,156.674951,22.105315,4.225035,0.313704,18.653219
batch 27,35.0,20.161894,159.08743,158.312194,8.628798,0.398067,20.062521
batch 27,40.0,5.410913,209.180425,598.584288,9.363191,0.422579,21.993535
batch 27,45.0,3.765123,239.378141,865.447364,8.117057,0.342169,23.616818
batch 27,50.0,5.203061,255.130412,623.489893,6.139713,0.259673,24.689277
batch 27,55.0,57.768918,192.822131,42.164503,5.074732,0.195218,25.292504
batch 27,60.0,22.555395,173.12112,141.858522,8.343771,0.230343,25.719829
batch 27,65.0,6.612533,215.492498,489.630426,8.964308,0.252028,26.441095
batch 27,70.0,4.999486,241.056491,650.086624,7.741934,0.208285,27.03064
batch 27,75.0,9.115358,249.957146,350.54458,6.010087,0.159901,27.315726
batch 27,80.0,61.608665,162.95788,47.097915,6.343626,0.128487,27.340735
batch 27,85.0,14.015423,196.195894,229.172447,8.638213,0.173579,27.41454
batch 27,90.0,6.504976,227.633511,498.160613,8.42653,0.171261,27.652396
batch 27,95.0,6.943138,245.034133,465.388356,7.003244,0.138805,27.754818
batch 28,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 28,5.0,23.060971,103.974561,132.410654,8.407313,0.635397,1.582412
batch 28,10.0,4.768839,178.341941,673.426301,10.014155,0.892192,6.401925
batch 28,15.0,2.695838,222.75153,1208.333623,9.266951,0.752638,11.139504
batch 28,20.0,2.484501,249.642974,1315.911933,7.360166,0.573669,14.716953
batch 28,25.0,4.135626,263.171694,786.589266,5.124978,0.428024,17.221582
batch 28,30.0,95.759487,147.344117,22.139964,4.414899,0.31927,18.900926
batch 28,35.0,19.352904,161.283356,164.851068,8.634363,0.404109,20.35111
batch 28,40.0,5.52575,210.003031,586.083138,9.25937,0.421354,22.282454
batch 28,45.0,3.968783,239.51077,820.647807,8.003473,0.340229,23.886524
batch 28,50.0,5.831335,254.200864,555.040667,6.076894,0.258193,24.94078
batch 28,55.0,66.717786,176.4942,37.626474,5.323969,0.195037,25.530073
batch 28,60.0,20.04195,177.818132,159.620139,8.422648,0.234778,25.977774
batch 28,65.0,6.653095,217.58574,486.631125,8.822817,0.247312,26.685031
batch 28,70.0,5.423818,241.565003,598.537898,7.561208,0.202826,27.235171
batch 28,75.0,11.686111,246.372759,270.224709,5.938051,0.155752,27.485499
batch 28,80.0,53.495851,164.0955,56.457623,6.765454,0.131334,27.492861
batch 28,85.0,12.619258,201.029154,254.68846,8.623613,0.173598,27.587087
batch 28,90.0,6.748704,229.817706,479.858761,8.206902,0.16502,27.796102
batch 28,95.0,8.296365,244.127189,387.643969,6.802449,0.132921,27.856991
batch 29,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 29,5.0,23.785535,102.484566,128.030618,8.330477,0.638854,1.587327
batch 29,10.0,4.946422,177.221476,648.811958,9.933238,0.903499,6.454067
batch 29,15.0,2.796558,221.907887,1164.419347,9.212328,0.764117,11.259995
batch 29,20.0,2.588314,248.955835,1262.742139,7.346401,0.58286,14.895195
batch 29,25.0,4.408222,262.321735,737.19164,5.150188,0.435,17.442088
batch 29,30.0,98.151174,140.081661,22.630134,4.609229,0.325082,19.151133
batch 29,35.0,18.678094,163.33446,170.74183,8.631795,0.409659,20.641554
batch 29,40.0,5.656678,210.751069,572.430909,9.156474,0.420144,22.571974
batch 29,45.0,4.195569,239.560014,775.863652,7.895061,0.338414,24.157341
batch 29,50.0,6.592798,253.020335,489.508677,6.024141,0.256844,25.194129
batch 29,55.0,70.293537,165.447738,37.40518,5.605446,0.195522,25.770715
batch 29,60.0,18.167189,181.954635,176.096739,8.468288,0.238033,26.238638
batch 29,65.0,6.754785,219.408489,479.218812,8.678885,0.242696,26.928807
batch 29,70.0,5.944898,241.757132,545.258612,7.394864,0.197807,27.441493
batch 29,75.0,15.441889,240.904808,200.791046,5.908507,0.152093,27.659728
batch 29,80.0,44.829628,168.607328,68.939965,7.116496,0.135609,27.655921
batch 29,85.0,11.721698,205.12287,274.309328,8.567204,0.172493,27.765074
batch 29,90.0,7.133204,231.416887,453.512272,7.994988,0.15929,27.944177
batch 29,95.0,10.202093,242.018735,313.009006,6.648115,0.127872,27.967683
batch 30,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 30,5.0,24.51823,100.997425,123.853227,8.255006,0.64224,1.592125
batch 30,10.0,5.13156,176.085031,624.966824,9.853641,0.914847,6.505867
batch 30,15.0,2.902092,221.046371,1121.678229,9.15857,0.77574,11.380778
batch 30,20.0,2.69799,248.247886,1211.014064,7.333246,0.592193,15.074594
batch 30,25.0,4.706822,261.419801,689.634346,5.176686,0.442094,17.66449
batch 30,30.0,98.871096,134.685076,23.454344,4.80373,0.331168,19.403947
batch 30,35.0,18.118725,165.250825,175.957279,8.62192,0.414774,20.933878
batch 30,40.0,5.804569,211.421943,557.733614,9.054775,0.418981,22.862397
batch 30,45.0,4.448495,239.519283,731.288061,7.792031,0.336746,24.429713
batch 30,50.0,7.523688,251.533163,427.347952,5.982161,0.255646,25.449872
batch 30,55.0,69.570152,159.315801,39.496287,5.895033,0.196831,26.015338
batch 30,60.0,16.765901,185.610111,190.837937,8.485977,0.2403,26.502579
batch 30,65.0,6.91737,220.957995,467.795636,8.534903,0.238274,27.173591
batch 30,70.0,6.584298,241.596461,491.359328,7.244739,0.193258,27.651047
batch 30,75.0,20.716846,233.0131,145.873964,5.927909,0.148992,27.84001
batch 30,80.0,37.430519,174.063231,83.563199,7.388666,0.140417,27.831339
batch 30,85.0,11.181881,208.544699,287.59937,8.481182,0.170708,27.949567
batch 30,90.0,7.671076,232.415212,421.065536,7.797127,0.154177,28.099198
batch 30,95.0,12.84692,238.413834,246.026982,6.546497,0.123698,28.089708
batch 31,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 31,5.0,25.258123,99.514241,119.869203,8.180864,0.645556,1.596808
batch 31,10.0,5.324588,174.932206,601.873324,9.775327,0.926235,6.557316
batch 31,15.0,3.012727,220.166226,1080.087521,9.105652,0.78751,11.501851
batch 31,20.0,2.813957,247.517943,1160.704027,7.32069,0.601674,15.255173
batch 31,25.0,5.034587,260.460614,643.911691,5.204518,0.449311,17.888839
batch 31,30.0,98.233708,130.920276,24.544028,4.99482,0.337555,19.659482
batch 31,35.0,17.659759,167.040084,180.479747,8.605501,0.419508,21.228139
batch 31,40.0,5.970438,212.012749,542.100339,8.954534,0.417899,23.154045
batch 31,45.0,4.730997,239.381133,687.119133,7.694598,0.335247,24.704103
batch 31,50.0,8.670126,249.669602,369.061163,5.951745,0.254619,25.708578
batch 31,55.0,66.078626,156.975921,43.120059,6.173319,0.19902,26.264883
batch 31,60.0,15.723499,188.839262,203.515382,8.480468,0.241775,26.769933
batch 31,65.0,7.142141,222.230069,452.840569,8.393064,0.234127,27.420614
batch 31,70.0,7.368077,241.039193,438.005638,7.112549,0.189206,27.865292
batch 31,75.0,27.249814,222.819617,107.914564,6.000421,0.146546,28.028001
batch 31,80.0,31.735071,179.319694,99.162954,7.586852,0.145072,28.019947
batch 31,85.0,10.91384,211.340393,294.622446,8.375796,0.168602,28.142013
batch 31,90.0,8.379377,232.791428,384.667234,7.6186,0.149757,28.263733
batch 31,95.0,16.332904,233.110781,190.909078,6.501911,0.120456,28.22582
batch 32,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 32,5.0,26.004257,98.036122,116.069584,8.108015,0.648803,1.60138
batch 32,10.0,5.525854,173.7626,579.514428,9.698263,0.937659,6.608409
batch 32,15.0,3.128772,219.266665,1039.62549,9.053552,0.799431,11.623211
batch 32,20.0,2.93668,246.764743,1111.789738,7.308725,0.611308,15.436957
batch 32,25.0,5.395093,259.438262,600.02115,5.23373,0.456657,18.115192
batch 32,30.0,96.534999,128.546083,25.856345,5.179707,0.344258,19.917855
batch 32,35.0,17.289081,168.70794,184.300306,8.583237,0.423918,21.524418
batch 32,40.0,6.15544,212.520282,525.643117,8.856003,0.416928,23.447258
batch 32,45.0,5.04697,239.137224,643.559648,7.602979,0.333937,24.980992
batch 32,50.0,10.088655,247.344858,315.200201,5.933749,0.253789,25.970841
batch 32,55.0,61.16032,157.234988,47.897796,6.42782,0.202026,26.520266
batch 32,60.0,14.959973,191.679987,213.917002,8.456016,0.242651,27.041202
batch 32,65.0,7.431602,223.219341,434.896928,8.255358,0.230323,27.671151
batch 32,70.0,8.326007,240.03531,386.393525,6.999839,0.185676,28.085698
batch 32,75.0,33.638612,211.854551,86.010837,6.123055,0.144883,28.225428
batch 32,80.0,27.560615,183.975711,114.553433,7.721263,0.149218,28.222306
batch 32,85.0,10.863789,213.54384,295.844948,8.259571,0.166456,28.34412
batch 32,90.0,9.275976,232.523898,346.539772,7.46353,0.146084,28.440299
batch 32,95.0,20.430634,226.328156,150.410846,6.514216,0.118221,28.378721
batch 33,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 33,5.0,26.75566,96.564173,112.445723,8.036428,0.651982,1.605843
batch 33,10.0,5.735715,172.575817,557.873617,9.622414,0.949118,6.659135
batch 33,15.0,3.250553,218.346862,1000.271378,9.002246,0.811506,11.744856
batch 33,20.0,3.066663,245.986934,1064.25027,7.297342,0.621101,15.619973
batch 33,25.0,5.79238,258.346144,557.963445,5.26437,0.464137,18.343607
batch 33,30.0,94.041438,127.329053,27.361994,5.35634,0.351283,20.179189
batch 33,35.0,16.9969,170.258574,187.418054,8.55578,0.428056,21.822825
batch 33,40.0,6.360869,212.941047,508.476744,8.759421,0.416098,23.742394
batch 33,45.0,5.400787,238.778284,600.8165,7.517389,0.332839,25.260877
batch 33,50.0,11.843431,244.462143,266.356425,5.929056,0.25318,26.237277
batch 33,55.0,55.793235,159.083965,53.573053,6.652014,0.205691,26.78233
batch 33,60.0,14.418827,194.159097,221.938242,8.416415,0.243103,27.317028
batch 33,65.0,7.789151,223.919643,414.557802,8.12356,0.226918,27.926509
batch 33,70.0,9.488658,238.532749,337.710872,6.907892,0.182697,28.313743
batch 33,75.0,38.107837,202.380544,75.974022,6.282302,0.144138,28.434082
batch 33,80.0,24.570554,187.950326,128.728633,7.803477,0.15276,28.438974
batch 33,85.0,10.997008,215.183019,292.032213,8.139481,0.164484,28.557755
batch 33,90.0,10.373203,231.600077,308.829715,7.334756,0.143199,28.631343
batch 33,95.0,24.406485,218.98541,124.548903,6.575787,0.117076,28.551044
batch 34,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 34,5.0,19.720756,110.993559,156.840799,8.81484,0.618998,1.559657
batch 34,10.0,3.995917,183.466441,806.931896,10.444464,0.840308,6.159254
batch 34,15.0,2.259424,226.568537,1445.181428,9.562621,0.70088,10.586619
batch 34,20.0,2.041383,252.706895,1605.006778,7.450257,0.532475,13.904883
batch 34,25.0,3.07003,266.741625,1064.52649,5.027762,0.396842,16.220754
batch 34,30.0,51.717767,214.12498,38.768759,3.597829,0.29477,17.768884
batch 34,35.0,25.600521,147.756182,125.301753,8.504239,0.370029,19.016246
batch 34,40.0,5.1141,204.781729,633.892395,9.79361,0.430913,20.944765
batch 34,45.0,3.129998,237.885897,1043.334124,8.6392,0.35429,22.66655
batch 34,50.0,3.52605,256.986069,925.923517,6.501595,0.26926,23.831879
batch 34,55.0,14.2318,253.247137,215.639391,4.624497,0.201216,24.507919
batch 34,60.0,46.471752,144.454239,68.777496,7.540307,0.199729,24.873926
batch 34,65.0,7.20904,203.65753,448.930486,9.463897,0.272712,25.605555
batch 34,70.0,3.967503,235.931204,821.777081,8.603484,0.237431,26.381464
batch 34,75.0,4.448315,254.253902,732.080387,6.651639,0.18349,26.843465
batch 34,80.0,22.336773,240.311613,130.51971,5.015277,0.138247,26.994436
batch 34,85.0,34.33648,163.833728,93.435333,7.902789,0.152747,26.97972
batch 34,90.0,7.058497,212.058344,459.108108,9.242397,0.200625,27.280159
batch 34,95.0,4.448792,240.052214,732.360074,8.182102,0.173456,27.595794
batch 35,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 35,5.0,20.397809,109.498072,151.315101,8.730561,0.622812,1.565176
batch 35,10.0,4.141204,182.415109,778.183372,10.356307,0.851443,6.213124
batch 35,15.0,2.340078,225.800791,1394.98698,9.503213,0.711754,10.706148
batch 35,20.0,2.121325,252.106435,1544.158705,7.433274,0.541073,14.078547
batch 35,25.0,3.247747,266.089738,1005.659941,5.04717,0.403331,16.433624
batch 35,30.0,63.871173,198.291651,29.436738,3.7273,0.299706,18.008798
batch 35,35.0,23.918835,150.737914,133.925481,8.553148,0.378688,19.298732
batch 35,40.0,5.169587,205.890559,627.127516,9.689379,0.429971,21.235775
batch 35,45.0,3.263349,238.306962,1000.449375,8.506769,0.352021,22.937576
batch 35,50.0,3.839422,256.716969,849.529558,6.40329,0.267399,24.082489
batch 35,55.0,20.157349,245.20883,145.550305,4.663199,0.199941,24.741782
batch 35,60.0,37.840228,152.89183,84.731178,7.821704,0.209705,25.119355
batch 35,65.0,6.944293,206.887663,466.282765,9.362944,0.268986,25.862101
batch 35,70.0,4.138803,237.503949,787.536473,8.385034,0.230435,26.594314
batch 35,75.0,5.098527,254.132875,637.341582,6.458688,0.177616,27.011367
batch 35,80.0,39.094409,217.660032,67.262729,5.138658,0.134205,27.127591
batch 35,85.0,25.612943,174.007012,125.355894,8.240498,0.162361,27.128622
batch 35,90.0,6.668375,216.695686,486.290906,9.081835,0.194555,27.431451
batch 35,95.0,4.766204,242.213687,683.067636,7.866416,0.164402,27.693332
batch 36,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 36,5.0,21.087129,108.000321,146.04329,8.647848,0.626552,1.570564
batch 36,10.0,4.292584,181.34967,750.302515,10.269667,0.862627,6.266685
batch 36,15.0,2.424374,225.018367,1346.09761,9.4448,0.722758,10.825974
batch 36,20.0,2.205443,251.489957,1484.894474,7.416947,0.549793,14.253266
batch 36,25.0,3.440397,265.404971,948.707518,5.067672,0.40992,16.648174
batch 36,30.0,75.050023,182.867583,24.88134,3.87563,0.304764,18.250888
batch 36,35.0,22.513158,153.490877,142.13395,8.589722,0.386644,19.583301
batch 36,40.0,5.239149,206.93205,618.815361,9.584798,0.428898,21.526392
batch 36,45.0,3.411077,238.66394,956.83846,8.378698,0.349794,23.208112
batch 36,50.0,4.205969,256.325454,774.584617,6.312979,0.265602,24.332959
batch 36,55.0,29.648651,232.551617,91.907644,4.74105,0.198778,24.975932
batch 36,60.0,31.35466,160.237296,102.26474,8.043412,0.218555,25.368778
batch 36,65.0,6.768158,209.837438,478.603165,9.247272,0.264735,26.114672
batch 36,70.0,4.356604,238.844415,747.832577,8.172578,0.223726,26.803291
batch 36,75.0,5.969418,253.534383,542.669227,6.288961,0.172105,27.177552
batch 36,80.0,57.467052,189.651845,44.540745,5.418453,0.130989,27.261571
batch 36,85.0,20.112553,182.316704,159.644073,8.461817,0.169292,27.285063
