batch,time,mdm2,MDM2,p53
batch 7,9.6,0.2272,2.1942,0.3525
batch 7,9.8,0.2152,2.1972,0.2285
batch 7,10.0,0.2037,2.1763,0.2272
batch 7,10.2,0.1929,2.1376,0.2374
batch 7,10.4,0.1827,2.0857,0.2537
batch 7,10.6,0.173,2.0245,0.2764
batch 7,10.8,0.1639,1.9569,0.3065
batch 7,11.0,0.1554,1.8851,0.3459
batch 7,11.2,0.1473,1.8112,0.3971
batch 7,11.4,0.1398,1.7365,0.4637
batch 7,11.6,0.1329,1.6623,0.5504
batch 7,11.8,0.1265,1.5896,0.6629
batch 7,12.0,0.1209,1.5195,0.8077
batch 7,12.2,0.1161,1.453,0.9911
batch 7,12.4,0.1125,1.3913,1.2183
batch 7,12.6,0.1104,1.3362,1.4917
batch 7,12.8,0.1103,1.2898,1.8095
batch 7,13.0,0.1129,1.2551,2.1646
batch 7,13.2,0.1188,1.2356,2.5432
batch 7,13.4,0.1285,1.2354,2.9243
batch 7,13.6,0.1423,1.2588,3.2794
batch 7,13.8,0.16,1.309,3.5733
batch 7,14.0,0.1805,1.3874,3.7667
batch 7,14.2,0.202,1.4922,3.8204
batch 7,14.4,0.2217,1.6174,3.7015
batch 7,14.6,0.2371,1.7528,3.3908
batch 7,14.8,0.2457,1.8852,2.8898
batch 7,15.0,0.2468,2.0008,2.2273
batch 7,15.2,0.241,2.0882,1.4672
batch 7,15.4,0.2307,2.1417,0.7376
batch 7,15.6,0.2188,2.1623,0.307
batch 7,15.8,0.2072,2.1554,0.2383
batch 7,16.0,0.1962,2.1276,0.2419
batch 7,16.2,0.1858,2.0841,0.2553
batch 7,16.4,0.176,2.0292,0.2754
batch 7,16.6,0.1667,1.9663,0.3028
batch 7,16.8,0.158,1.8981,0.339
batch 7,17.0,0.1498,1.8267,0.3863
batch 7,17.2,0.1422,1.7537,0.4479
batch 7,17.4,0.135,1.6805,0.5282
batch 7,17.6,0.1285,1.6084,0.6326
batch 7,17.8,0.1227,1.5382,0.7672
batch 7,18.0,0.1176,1.4712,0.9385
batch 7,18.2,0.1137,1.4086,1.1521
batch 7,18.4,0.1111,1.3519,1.4111
batch 7,18.6,0.1104,1.3031,1.7153
batch 7,18.8,0.1121,1.2649,2.0591
batch 7,19.0,0.1169,1.2408,2.4308
batch 7,19.2,0.1255,1.2348,2.8116
batch 7,19.4,0.138,1.2509,3.1754
batch 7,19.6,0.1546,1.2929,3.4889
batch 7,19.8,0.1743,1.3628,3.7139
batch 7,20.0,0.1955,1.4598,3.8109
batch 7,20.2,0.2159,1.5791,3.7449
batch 7,20.4,0.2327,1.7119,3.4921
batch 7,20.6,0.2434,1.8458,3.0475
batch 7,20.8,0.2466,1.9667,2.4311
batch 7,21.0,0.2426,2.0625,1.6948
batch 7,21.2,0.2334,2.1257,0.9408
batch 7,21.4,0.2218,2.1551,0.3895
batch 7,21.6,0.2101,2.1554,0.245
batch 7,21.8,0.1989,2.133,0.241
batch 7,22.0,0.1884,2.0936,0.2524
batch 7,22.2,0.1784,2.0417,0.2706
batch 7,22.4,0.169,1.981,0.296
batch 7,22.6,0.1601,1.9142,0.3298
batch 7,22.8,0.1518,1.8437,0.3741
batch 7,23.0,0.144,1.7711,0.4319
batch 7,23.2,0.1368,1.6981,0.5071
batch 7,23.4,0.1301,1.6257,0.6049
batch 7,23.6,0.1241,1.5551,0.7315
batch 7,23.8,0.1188,1.4873,0.8932
batch 7,24.0,0.1146,1.4235,1.0958
batch 7,24.2,0.1116,1.3652,1.3435
batch 7,24.4,0.1104,1.3143,1.6366
batch 7,24.6,0.1114,1.2733,1.9713
batch 7,24.8,0.1155,1.2454,2.3373
batch 8,0.0,0.5,0.0,4.0
batch 8,0.2,0.5239,1.0097,5.4233
batch 8,0.4,0.5616,1.886,5.4273
batch 8,0.6,0.5833,2.6512,4.1997
batch 8,0.8,0.5742,3.2767,1.9859
batch 8,1.0,0.5455,3.7364,0.0775
batch 8,1.2,0.5163,4.0463,0.0658
batch 8,1.4,0.4886,4.2386,0.0611
batch 8,1.6,0.4624,4.3396,0.0589
batch 8,1.8,0.4376,4.3701,0.0583
batch 8,2.0,0.4141,4.3469,0.0587
batch 8,2.2,0.3919,4.2831,0.06
batch 8,2.4,0.3709,4.1893,0.062
batch 8,2.6,0.351,4.0735,0.0647
batch 8,2.8,0.3321,3.9424,0.068
batch 8,3.0,0.3143,3.801,0.072
batch 8,3.2,0.2975,3.6534,0.0768
batch 8,3.4,0.2815,3.5025,0.0823
batch 8,3.6,0.2664,3.3509,0.0887
batch 8,3.8,0.2522,3.2002,0.0961
batch 8,4.0,0.2387,3.0519,0.1048
batch 8,4.2,0.2259,2.9069,0.1148
batch 8,4.4,0.2138,2.7661,0.1266
batch 8,4.6,0.2024,2.6299,0.1406
batch 8,4.8,0.1915,2.4987,0.1572
batch 8,5.0,0.1813,2.3726,0.1771
batch 8,5.2,0.1717,2.2519,0.2014
batch 8,5.4,0.1626,2.1365,0.2314
batch 8,5.6,0.154,2.0265,0.269
batch 8,5.8,0.1459,1.9218,0.3167
batch 8,6.0,0.1383,1.8223,0.3782
batch 8,6.2,0.1313,1.728,0.4582
batch 8,6.4,0.1248,1.6391,0.5631
batch 8,6.6,0.1189,1.5555,0.7
batch 8,6.8,0.1139,1.4777,0.8765
batch 8,7.0,0.1099,1.4063,1.0996
batch 8,7.2,0.1073,1.3425,1.3733
batch 8,7.4,0.1066,1.288,1.6977
batch 8,7.6,0.1085,1.2454,2.0671
batch 8,7.8,0.1137,1.2184,2.4689
batch 8,8.0,0.123,1.2111,2.8825
batch 8,8.2,0.1369,1.2284,3.2789
batch 8,8.4,0.1552,1.2743,3.6212
batch 8,8.6,0.1772,1.3514,3.8666
batch 8,8.8,0.2009,1.4588,3.9707
batch 8,9.0,0.2235,1.5914,3.8937
batch 8,9.2,0.242,1.7388,3.6089
batch 8,9.4,0.2535,1.8868,3.111
batch 8,9.6,0.2566,2.0198,2.4234
batch 8,9.8,0.2517,2.124,1.6076
batch 8,10.0,0.2413,2.1917,0.7929
batch 8,10.2,0.2289,2.223,0.2896
batch 8,10.4,0.2168,2.2235,0.2175
batch 8,10.6,0.2053,2.2006,0.2199
batch 8,10.8,0.1943,2.16,0.2303
batch 8,11.0,0.184,2.1064,0.2463
batch 8,11.2,0.1743,2.0437,0.2683
batch 8,11.4,0.1651,1.9747,0.2975
batch 8,11.6,0.1565,1.9017,0.3354
batch 8,11.8,0.1484,1.8266,0.3847
batch 8,12.0,0.1408,1.7508,0.4488
batch 8,12.2,0.1337,1.6756,0.5321
batch 8,12.4,0.1273,1.6019,0.6403
batch 8,12.6,0.1215,1.5307,0.7798
batch 8,12.8,0.1166,1.4631,0.9573
batch 8,13.0,0.1128,1.4003,1.178
batch 8,13.2,0.1105,1.3437,1.4449
batch 8,13.4,0.11,1.2956,1.7572
batch 8,13.6,0.1122,1.2586,2.1084
batch 8,13.8,0.1175,1.2364,2.486
batch 8,14.0,0.1266,1.2329,2.8699
batch 8,14.2,0.1399,1.2525,3.2326
batch 8,14.4,0.1571,1.2986,3.5398
batch 8,14.6,0.1774,1.373,3.7521
batch 8,14.8,0.199,1.4745,3.8299
batch 8,15.0,0.2193,1.5977,3.7387
batch 8,15.2,0.2355,1.7331,3.4565
batch 8,15.4,0.2453,1.8675,2.9812
batch 8,15.6,0.2475,1.987,2.3371
batch 8,15.8,0.2426,2.0797,1.5823
batch 8,16.0,0.2328,2.1387,0.8323
batch 8,16.2,0.221,2.1641,0.3377
batch 8,16.4,0.2093,2.1611,0.2387
batch 8,16.6,0.1982,2.136,0.2395
batch 8,16.8,0.1877,2.0946,0.2518
batch 8,17.0,0.1777,2.0411,0.2707
batch 8,17.2,0.1684,1.9792,0.2967
batch 8,17.4,0.1595,1.9116,0.3311
batch 8,17.6,0.1513,1.8404,0.3762
batch 8,17.8,0.1435,1.7674,0.435
batch 8,18.0,0.1363,1.6941,0.5115
batch 8,18.2,0.1296,1.6216,0.611
batch 8,18.4,0.1237,1.5509,0.7397
batch 8,18.6,0.1185,1.4832,0.9039
batch 8,18.8,0.1143,1.4196,1.1095
batch 8,19.0,0.1114,1.3616,1.3602
batch 8,19.2,0.1103,1.3112,1.6565
batch 8,19.4,0.1116,1.2708,1.9939
batch 8,19.6,0.1158,1.2439,2.3619
batch 8,19.8,0.1236,1.2342,2.743
batch 8,20.0,0.1354,1.246,3.1123
batch 8,20.2,0.1513,1.2831,3.4379
batch 8,20.4,0.1705,1.3479,3.6821
batch 8,20.6,0.1917,1.4402,3.8054
batch 8,20.8,0.2124,1.5561,3.7712
batch 8,21.0,0.2301,1.6874,3.5534
batch 8,21.2,0.242,1.8221,3.1427
batch 8,21.4,0.2466,1.9465,2.5545
batch 8,21.6,0.2439,2.0477,1.8339
batch 8,21.8,0.2354,2.1171,1.0713
batch 8,22.0,0.224,2.1525,0.4587
batch 8,22.2,0.2122,2.1576,0.2518
batch 8,22.4,0.2009,2.1389,0.2397
batch 8,22.6,0.1903,2.1022,0.2496
batch 8,22.8,0.1802,2.0523,0.2667
batch 8,23.0,0.1707,1.9929,0.2907
batch 8,23.2,0.1617,1.9271,0.3228
batch 8,23.4,0.1533,1.857,0.3649
batch 8,23.6,0.1454,1.7847,0.4199
batch 8,23.8,0.1381,1.7117,0.4915
batch 8,24.0,0.1313,1.6391,0.5847
batch 8,24.2,0.1251,1.5681,0.7054
batch 8,24.4,0.1197,1.4997,0.8601
batch 8,24.6,0.1153,1.435,1.0548
batch 8,24.8,0.112,1.3756,1.2939
batch 9,0.0,0.5,2.0,0.0
batch 9,0.2,0.4732,2.5662,0.1637
batch 9,0.4,0.4479,2.9688,0.114
batch 9,0.6,0.4239,3.2428,0.0954
batch 9,0.8,0.4011,3.4165,0.0866
batch 9,1.0,0.3796,3.512,0.0824
batch 9,1.2,0.3593,3.5472,0.0809
batch 9,1.4,0.34,3.5363,0.0813
batch 9,1.6,0.3218,3.4905,0.083
batch 9,1.8,0.3045,3.4187,0.0859
batch 9,2.0,0.2882,3.3279,0.0899
batch 9,2.2,0.2728,3.2236,0.0951
batch 9,2.4,0.2582,3.1103,0.1013
batch 9,2.6,0.2443,2.9913,0.1089
batch 9,2.8,0.2312,2.8693,0.1179
batch 9,3.0,0.2189,2.7462,0.1287
batch 9,3.2,0.2072,2.6237,0.1415
batch 9,3.4,0.1961,2.503,0.1568
batch 9,3.6,0.1856,2.3848,0.1752
batch 9,3.8,0.1757,2.27,0.1977
batch 9,4.0,0.1664,2.1589,0.2253
batch 9,4.2,0.1576,2.0518,0.2598
batch 9,4.4,0.1493,1.949,0.3035
batch 9,4.6,0.1415,1.8507,0.3594
batch 9,4.8,0.1343,1.757,0.432
batch 9,5.0,0.1276,1.668,0.5268
batch 9,5.2,0.1215,1.584,0.6506
batch 9,5.4,0.1161,1.5052,0.811
batch 9,5.6,0.1116,1.4323,1.0152
batch 9,5.8,0.1085,1.3663,1.2683
batch 9,6.0,0.107,1.3087,1.5721
batch 9,6.2,0.1078,1.2617,1.9231
batch 9,6.4,0.1116,1.2287,2.3117
batch 9,6.6,0.1193,1.2137,2.7205
batch 9,6.8,0.1313,1.2211,3.1239
batch 9,7.0,0.1478,1.2555,3.4882
batch 9,7.2,0.1683,1.3201,3.773
batch 9,7.4,0.1914,1.4154,3.9342
batch 9,7.6,0.2146,1.5381,3.9301
batch 9,7.8,0.2348,1.6799,3.7283
batch 9,8.0,0.2491,1.8281,3.3147
batch 9,8.2,0.2554,1.9671,2.7007
batch 9,8.4,0.2534,2.0825,1.9312
batch 9,8.6,0.2448,2.1638,1.1007
batch 9,8.8,0.2329,2.2081,0.428
batch 9,9.0,0.2206,2.2193,0.2274
batch 9,9.2,0.2088,2.2045,0.2197
batch 9,9.4,0.1977,2.17,0.2278
batch 9,9.6,0.1873,2.1211,0.2418
batch 9,9.8,0.1773,2.0616,0.2618
batch 9,10.0,0.168,1.9949,0.2885
batch 9,10.2,0.1592,1.9234,0.3234
batch 9,10.4,0.1509,1.8491,0.3688
batch 9,10.6,0.1431,1.7737,0.4277
batch 9,10.8,0.1359,1.6985,0.5044
batch 9,11.0,0.1293,1.6244,0.6042
batch 9,11.2,0.1233,1.5525,0.7332
batch 9,11.4,0.1181,1.4838,0.898
batch 9,11.6,0.1139,1.4194,1.1045
batch 9,11.8,0.1111,1.3607,1.3567
batch 9,12.0,0.11,1.3098,1.655
batch 9,12.2,0.1112,1.269,1.9947
batch 9,12.4,0.1155,1.2418,2.3655
batch 9,12.6,0.1234,1.232,2.7497
batch 9,12.8,0.1353,1.2439,3.122
batch 9,13.0,0.1513,1.2813,3.4503
batch 9,13.2,0.1708,1.3468,3.6964
batch 9,13.4,0.1921,1.44,3.8204
batch 9,13.6,0.2131,1.5572,3.7854
batch 9,13.8,0.2309,1.6898,3.5646
batch 9,14.0,0.2429,1.8259,3.1492
batch 9,14.2,0.2476,1.9514,2.5543
batch 9,14.4,0.2447,2.0534,1.8263
batch 9,14.6,0.2361,2.1232,1.0572
batch 9,14.8,0.2246,2.1588,0.4455
batch 9,15.0,0.2128,2.1639,0.2479
batch 9,15.2,0.2015,2.1451,0.2375
batch 9,15.4,0.1908,2.1083,0.2474
batch 9,15.6,0.1807,2.0582,0.2643
batch 9,15.8,0.1712,1.9986,0.288
batch 9,16.0,0.1622,1.9325,0.3197
batch 9,16.2,0.1537,1.8623,0.3612
batch 9,16.4,0.1458,1.7898,0.4154
batch 9,16.6,0.1384,1.7164,0.486
batch 9,16.8,0.1316,1.6436,0.5779
batch 9,17.0,0.1254,1.5723,0.6969
batch 9,17.2,0.12,1.5036,0.8495
batch 9,17.4,0.1154,1.4386,1.0419
batch 9,17.6,0.1121,1.3787,1.2786
batch 9,17.8,0.1104,1.3257,1.5612
batch 9,18.0,0.1109,1.282,1.8867
batch 9,18.2,0.1141,1.2505,2.2468
batch 9,18.4,0.1208,1.2351,2.6261
batch 9,18.6,0.1314,1.2399,3.0021
batch 9,18.8,0.146,1.2689,3.3448
batch 9,19.0,0.1644,1.3251,3.6181
batch 9,19.2,0.1851,1.4092,3.7826
batch 9,19.4,0.2063,1.5185,3.8
batch 9,19.6,0.2251,1.6462,3.6404
batch 9,19.8,0.2391,1.7813,3.2885
batch 9,20.0,0.246,1.9103,2.7514
batch 9,20.2,0.2454,2.0197,2.0645
batch 9,20.4,0.2384,2.0994,1.3012
batch 9,20.6,0.2276,2.145,0.6116
batch 9,20.8,0.2157,2.1588,0.2767
batch 9,21.0,0.2043,2.1467,0.239
batch 9,21.2,0.1935,2.1149,0.2458
batch 9,21.4,0.1832,2.0687,0.2608
batch 9,21.6,0.1736,2.0118,0.2826
batch 9,21.8,0.1644,1.9477,0.312
batch 9,22.0,0.1558,1.8787,0.3508
batch 9,22.2,0.1478,1.807,0.4015
batch 9,22.4,0.1403,1.734,0.4676
batch 9,22.6,0.1333,1.6611,0.5536
batch 9,22.8,0.1269,1.5895,0.6653
batch 9,23.0,0.1213,1.5202,0.8089
batch 9,23.2,0.1165,1.4543,0.9908
batch 9,23.4,0.1129,1.3931,1.216
batch 9,23.6,0.1107,1.3383,1.487
batch 9,23.8,0.1106,1.292,1.8022
batch 9,24.0,0.1131,1.2573,2.1545
batch 9,24.2,0.1188,1.2375,2.5305
batch 9,24.4,0.1284,1.2369,2.9094
batch 9,24.6,0.142,1.2595,3.2632
batch 9,24.8,0.1595,1.3087,3.5571
batch 10,0.0,0.5,2.0,4.0
batch 10,0.2,0.4989,2.5959,2.7623
batch 10,0.4,0.4801,3.0527,0.8836
batch 10,0.6,0.4546,3.3727,0.0891
batch 10,0.8,0.4302,3.5797,0.0801
batch 10,1.0,0.4072,3.6989,0.0757
batch 10,1.2,0.3853,3.7501,0.0739
batch 10,1.4,0.3647,3.7492,0.0738
batch 10,1.6,0.3451,3.7087,0.0751
batch 10,1.8,0.3266,3.6385,0.0774
batch 10,2.0,0.3091,3.5467,0.0807
batch 10,2.2,0.2925,3.4393,0.0849
batch 10,2.4,0.2769,3.3213,0.0902
batch 10,2.6,0.262,3.1965,0.0964
batch 10,2.8,0.248,3.0679,0.1039
batch 10,3.0,0.2347,2.9377,0.1126
batch 10,3.2,0.2221,2.8078,0.123
batch 10,3.4,0.2103,2.6794,0.1353
batch 10,3.6,0.199,2.5535,0.1499
batch 10,3.8,0.1884,2.431,0.1674
batch 10,4.0,0.1783,2.3123,0.1887
batch 10,4.2,0.1689,2.1978,0.2147
batch 10,4.4,0.1599,2.0877,0.247
batch 10,4.6,0.1515,1.9823,0.2878
batch 10,4.8,0.1436,1.8816,0.3398
batch 10,5.0,0.1362,1.7856,0.407
batch 10,5.2,0.1293,1.6945,0.4947
batch 10,5.4,0.123,1.6085,0.6095
batch 10,5.6,0.1174,1.5277,0.7588
batch 10,5.8,0.1127,1.4527,0.95
batch 10,6.0,0.1091,1.3843,1.1891
batch 10,6.2,0.107,1.3238,1.479
batch 10,6.4,0.1071,1.2733,1.818
batch 10,6.6,0.1101,1.2358,2.1982
batch 10,6.8,0.1166,1.2151,2.6045
batch 10,7.0,0.1273,1.2156,3.0137
batch 10,7.2,0.1426,1.2419,3.3943
batch 10,7.4,0.1622,1.2978,3.7071
batch 10,7.6,0.1848,1.3848,3.9088
batch 10,7.8,0.2083,1.5007,3.9559
batch 10,8.0,0.2298,1.6387,3.8124
batch 10,8.2,0.2461,1.7871,3.458
batch 10,8.4,0.2548,1.9308,2.8962
batch 10,8.6,0.2551,2.0546,2.1616
batch 10,8.8,0.248,2.1466,1.3316
batch 10,9.0,0.2367,2.2015,0.5762
batch 10,9.2,0.2243,2.2215,0.2435
batch 10,9.4,0.2124,2.2134,0.2182
batch 10,9.6,0.2011,2.184,0.2241
batch 10,9.8,0.1904,2.1386,0.2365
batch 10,10.0,0.1803,2.0818,0.2546
batch 10,10.2,0.1708,2.0168,0.2791
batch 10,10.4,0.1618,1.9463,0.3113
batch 10,10.6,0.1534,1.8726,0.3532
batch 10,10.8,0.1455,1.7973,0.4076
batch 10,11.0,0.1381,1.7218,0.4783
batch 10,11.2,0.1312,1.6472,0.5703
batch 10,11.4,0.1251,1.5744,0.6896
batch 10,11.6,0.1196,1.5046,0.8427
batch 10,11.8,0.1151,1.4387,1.0359
batch 10,12.0,0.1118,1.3781,1.2739
batch 10,12.2,0.1101,1.3244,1.5583
batch 10,12.4,0.1105,1.2802,1.8862
batch 10,12.6,0.1138,1.2484,2.249
batch 10,12.8,0.1205,1.2328,2.6315
batch 10,13.0,0.1312,1.2376,3.0108
batch 10,13.2,0.146,1.2668,3.3566
batch 10,13.4,0.1645,1.3235,3.6324
batch 10,13.6,0.1855,1.4085,3.7982
batch 10,13.8,0.2069,1.519,3.8156
batch 10,14.0,0.226,1.648,3.6539
batch 10,14.2,0.24,1.7846,3.2978
batch 10,14.4,0.247,1.9149,2.7547
batch 10,14.6,0.2464,2.0253,2.0602
batch 10,14.8,0.2392,2.1057,1.2894
batch 10,15.0,0.2283,2.1516,0.5967
batch 10,15.2,0.2164,2.1654,0.2706
batch 10,15.4,0.2049,2.1533,0.2366
batch 10,15.6,0.1941,2.1215,0.2435
batch 10,15.8,0.1838,2.0751,0.2583
batch 10,16.0,0.1741,2.018,0.2798
batch 10,16.2,0.1649,1.9537,0.3088
batch 10,16.4,0.1563,1.8845,0.3471
batch 10,16.6,0.1482,1.8125,0.397
batch 10,16.8,0.1407,1.7392,0.462
batch 10,17.0,0.1337,1.6661,0.5467
batch 10,17.2,0.1273,1.5942,0.6566
batch 10,17.4,0.1216,1.5246,0.7981
batch 10,17.6,0.1167,1.4583,0.9776
batch 10,17.8,0.113,1.3966,1.2002
batch 10,18.0,0.1108,1.3413,1.4686
batch 10,18.2,0.1105,1.2944,1.7814
batch 10,18.4,0.1128,1.2587,2.1321
batch 10,18.6,0.1183,1.2379,2.5076
batch 10,18.8,0.1276,1.236,2.8875
batch 10,19.0,0.1411,1.2571,3.2442
batch 10,19.2,0.1583,1.3046,3.5432
batch 10,19.4,0.1785,1.3801,3.7456
batch 10,19.6,0.1998,1.4822,3.8125
batch 10,19.8,0.2197,1.6052,3.7103
batch 10,20.0,0.2354,1.7393,3.4184
batch 10,20.2,0.2447,1.8718,2.9365
batch 10,20.4,0.2464,1.9886,2.2903
batch 10,20.6,0.2411,2.0783,1.5396
batch 10,20.8,0.2312,2.1345,0.8025
batch 10,21.0,0.2194,2.1576,0.3311
batch 10,21.2,0.2078,2.1528,0.2409
batch 10,21.4,0.1968,2.1266,0.2425
batch 10,21.6,0.1863,2.0844,0.2554
batch 10,21.8,0.1765,2.0304,0.275
batch 10,22.0,0.1672,1.9682,0.302
batch 10,22.2,0.1585,1.9005,0.3376
batch 10,22.4,0.1502,1.8295,0.3843
batch 10,22.6,0.1425,1.7567,0.4452
batch 10,22.8,0.1354,1.6837,0.5244
batch 10,23.0,0.1288,1.6116,0.6275
batch 10,23.2,0.123,1.5414,0.7605
batch 10,23.4,0.1179,1.4743,0.9298
batch 10,23.6,0.1139,1.4115,1.1412
batch 10,23.8,0.1112,1.3545,1.3979
batch 10,24.0,0.1104,1.3053,1.6998
batch 10,24.2,0.112,1.2666,2.0417
batch 10,24.4,0.1166,1.2418,2.4122
batch 10,24.6,0.125,1.2348,2.7929
batch 10,24.8,0.1373,1.2498,3.158
batch 11,0.0,0.0,0.0,0.0
batch 11,0.2,0.0035,0.0019,2.2055
batch 11,0.4,0.0278,0.0283,4.3972
batch 11,0.6,0.0914,0.1352,6.5099
batch 11,0.8,0.2074,0.3993,8.3892
batch 11,1.0,0.3761,0.8963,9.7775
batch 11,1.2,0.5768,1.6671,10.3368
batch 11,1.4,0.7665,2.6799,9.7211
batch 11,1.6,0.8931,3.8108,7.6931
batch 11,1.8,0.9262,4.8738,4.2497
batch 11,2.0,0.8892,5.7108,0.1218
batch 11,2.2,0.8415,6.2913,0.0434
batch 11,2.4,0.7964,6.665,0.0401
batch 11,2.6,0.7536,6.8778,0.0384
batch 11,2.8,0.7132,6.9664,0.0377
batch 11,3.0,0.6749,6.9595,0.0378
batch 11,3.2,0.6387,6.8805,0.0383
batch 11,3.4,0.6045,6.7473,0.0393
batch 11,3.6,0.572,6.5747,0.0407
batch 11,3.8,0.5413,6.3738,0.0424
batch 11,4.0,0.5123,6.1536,0.0445
batch 11,4.2,0.4848,5.9211,0.0469
batch 11,4.4,0.4588,5.6818,0.0497
batch 11,4.6,0.4342,5.4398,0.0529
batch 11,4.8,0.4109,5.1983,0.0565
batch 11,5.0,0.3889,4.9599,0.0606
batch 11,5.2,0.368,4.7262,0.0651
batch 11,5.4,0.3483,4.4987,0.0703
batch 11,5.6,0.3296,4.2782,0.0762
batch 11,5.8,0.3119,4.0655,0.0829
batch 11,6.0,0.2952,3.8608,0.0906
batch 11,6.2,0.2794,3.6645,0.0993
batch 11,6.4,0.2644,3.4767,0.1095
batch 11,6.6,0.2503,3.2972,0.1212
batch 11,6.8,0.2369,3.126,0.1351
batch 11,7.0,0.2242,2.963,0.1515
batch 11,7.2,0.2122,2.8078,0.1711
batch 11,7.4,0.2009,2.6604,0.195
batch 11,7.6,0.1902,2.5204,0.2243
batch 11,7.8,0.1801,2.3876,0.261
batch 11,8.0,0.1706,2.2617,0.3076
batch 11,8.2,0.1617,2.1425,0.3675
batch 11,8.4,0.1534,2.0299,0.4457
batch 11,8.6,0.1457,1.9238,0.5481
batch 11,8.8,0.1387,1.8241,0.6823
batch 11,9.0,0.1325,1.731,0.8563
batch 11,9.2,0.1274,1.6453,1.0773
batch 11,9.4,0.1237,1.5677,1.3506
batch 11,9.6,0.122,1.5002,1.6775
batch 11,9.8,0.123,1.4452,2.0541
batch 11,10.0,0.1274,1.4064,2.4703
batch 11,10.2,0.1361,1.3883,2.9084
batch 11,10.4,0.1498,1.3961,3.3429
batch 11,10.6,0.1689,1.435,3.7402
batch 11,10.8,0.1926,1.5089,4.0598
batch 11,11.0,0.2196,1.6189,4.2575
batch 11,11.2,0.2473,1.7618,4.2902
batch 11,11.4,0.2724,1.9291,4.123
batch 11,11.6,0.2912,2.107,3.7371
batch 11,11.8,0.3012,2.2782,3.137
batch 11,12.0,0.3015,2.4253,2.3575
batch 11,12.2,0.2933,2.5348,1.4731
batch 11,12.4,0.28,2.6005,0.6438
batch 11,12.6,0.2653,2.6249,0.2422
batch 11,12.8,0.2512,2.6159,0.2105
batch 11,13.0,0.2378,2.5815,0.2161
batch 11,13.2,0.2252,2.5281,0.2278
batch 11,13.4,0.2132,2.461,0.2449
batch 11,13.6,0.2019,2.3842,0.2679
batch 11,13.8,0.1912,2.3009,0.2982
batch 11,14.0,0.1812,2.2136,0.3375
batch 11,14.2,0.1718,2.1243,0.3885
batch 11,14.4,0.1629,2.0346,0.4547
batch 11,14.6,0.1547,1.9458,0.5409
batch 11,14.8,0.1472,1.859,0.6531
batch 11,15.0,0.1404,1.7753,0.7979
batch 11,15.2,0.1346,1.6956,0.9822
batch 11,15.4,0.1299,1.6213,1.2116
batch 11,15.6,0.1269,1.5541,1.4895
batch 11,15.8,0.1259,1.4962,1.8154
batch 11,16.0,0.1278,1.4507,2.1835
batch 11,16.2,0.1331,1.4212,2.5822
batch 11,16.4,0.1427,1.4125,2.9928
batch 11,16.6,0.157,1.4292,3.3893
batch 11,16.8,0.176,1.4758,3.7387
batch 11,17.0,0.1988,1.5549,4.0027
batch 11,17.2,0.224,1.6664,4.141
batch 11,17.4,0.2488,1.8057,4.1164
batch 11,17.6,0.2702,1.9636,3.9015
batch 11,17.8,0.2853,2.1266,3.4853
batch 11,18.0,0.2919,2.2786,2.8798
batch 11,18.2,0.2899,2.4047,2.1254
batch 11,18.4,0.2807,2.4941,1.3013
batch 11,18.6,0.2676,2.543,0.5729
batch 11,18.8,0.2535,2.5548,0.2549
batch 11,19.0,0.24,2.537,0.2291
batch 11,19.2,0.2273,2.4967,0.2371
batch 11,19.4,0.2152,2.4399,0.2521
batch 11,19.6,0.2038,2.3711,0.2735
batch 11,19.8,0.193,2.294,0.3021
batch 11,20.0,0.1829,2.2115,0.3397
batch 11,20.2,0.1734,2.126,0.3888
batch 11,20.4,0.1645,2.0391,0.4526
batch 11,20.6,0.1562,1.9523,0.5358
batch 11,20.8,0.1485,1.867,0.6441
batch 11,21.0,0.1416,1.7842,0.7839
batch 11,21.2,0.1357,1.7051,0.9621
batch 11,21.4,0.1309,1.631,1.1843
batch 11,21.6,0.1276,1.5635,1.4544
batch 11,21.8,0.1263,1.5049,1.7721
batch 11,22.0,0.1277,1.458,2.1328
batch 11,22.2,0.1325,1.4265,2.5255
batch 11,22.4,0.1415,1.4149,2.9327
batch 11,22.6,0.155,1.428,3.3296
batch 11,22.8,0.1732,1.4701,3.6844
batch 11,23.0,0.1954,1.5442,3.9597
batch 11,23.2,0.2202,1.6505,4.1156
batch 11,23.4,0.2449,1.7853,4.1147
batch 11,23.6,0.2668,1.9399,3.9281
batch 11,23.8,0.2827,2.1015,3.5425
batch 11,24.0,0.2905,2.2545,2.9663
batch 11,24.2,0.2896,2.3837,2.2354
batch 11,24.4,0.2813,2.4776,1.4212
batch 11,24.6,0.2686,2.5315,0.6679
batch 11,24.8,0.2546,2.5477,0.2761
batch 12,0.0,0.0,2.0,4.0
batch 12,0.2,0.0327,1.6382,3.8862
batch 12,0.4,0.0652,1.4116,4.1458
batch 12,0.6,0.1028,1.2986,4.6178
batch 12,0.8,0.1487,1.2905,5.1625
batch 12,1.0,0.2037,1.3844,5.6475
batch 12,1.2,0.2655,1.5763,5.9438
batch 12,1.4,0.3277,1.8543,5.9324
batch 12,1.6,0.3813,2.1931,5.5193
batch 12,1.8,0.4173,2.5543,4.6556
batch 12,2.0,0.4301,2.8919,3.3575
batch 12,2.2,0.4216,3.1651,1.7326
